"","time","record_id","date","lat","long"
"322",10:30:00,"1-2",2025-08-12,-6.1808930600735,106.861048521845
"323",10:45:00,"1-2",2025-08-12,-6.181398,106.860729
"324",11:00:00,"1-2",2025-08-12,-6.17787638308178,106.862090525145
"325",11:15:00,"1-2",2025-08-12,-6.181398,106.860729
"326",12:30:00,"1-2",2025-08-12,-6.18088939540027,106.860711164087
"327",12:45:00,"1-2",2025-08-12,-6.17435154581115,106.85790238867
"328",13:00:00,"1-2",2025-08-12,-6.1746256208689,106.849728278906
"329",13:15:00,"1-2",2025-08-12,-6.175758,106.848187
"330",13:30:00,"1-2",2025-08-12,-6.175623,106.853742
"331",15:45:00,"1-2",2025-08-12,-6.17439395320568,106.855096955422
"332",19:00:00,"1-2",2025-08-12,-6.17449409229034,106.852968135725
"333",19:15:00,"1-2",2025-08-12,-6.17448289380659,106.854030648516
"334",20:00:00,"1-2",2025-08-12,-6.17441080907587,106.854810662574
"335",20:15:00,"1-2",2025-08-12,-6.17506841833878,106.854613761616
"336",20:30:00,"1-2",2025-08-12,-6.1845699210637,106.855859840308
"337",20:45:00,"1-2",2025-08-12,-6.177362,106.85456
"338",21:00:00,"1-2",2025-08-12,-6.174855,106.853138
"339",22:45:00,"1-2",2025-08-12,-6.175448,106.854155
"340",04:45:00,"1-8",2025-08-14,-6.188571,106.862211
"341",05:00:00,"1-8",2025-08-14,-6.183655,106.861716
"342",05:30:00,"1-8",2025-08-14,-6.183632,106.861671
"343",05:45:00,"1-8",2025-08-14,-6.183503,106.861262
"344",06:00:00,"1-8",2025-08-14,-6.181266,106.860178
"345",06:15:00,"1-8",2025-08-14,-6.18085089468683,106.861445728108
"346",08:00:00,"1-8",2025-08-14,-6.18085397854812,106.861490131982
"347",08:15:00,"1-8",2025-08-14,-6.181537,106.860249
"348",09:00:00,"1-8",2025-08-13,-6.181577,106.860596
"349",11:15:00,"1-8",2025-08-13,-6.181508,106.860382
"350",12:00:00,"1-8",2025-08-13,-6.181579,106.860453
"351",12:15:00,"1-8",2025-08-13,-6.18149,106.860498
"352",12:30:00,"1-8",2025-08-13,-6.181603,106.859964
"353",12:45:00,"1-8",2025-08-13,-6.183648,106.861689
"354",13:00:00,"1-8",2025-08-13,-6.183686,106.861689
"355",13:15:00,"1-8",2025-08-13,-6.183939,106.861431
"356",14:00:00,"1-8",2025-08-13,-6.18600121749104,106.859885575472
"357",14:30:00,"1-8",2025-08-13,-6.185402,106.860969
"358",14:45:00,"1-8",2025-08-13,-6.184994,106.861013
"359",15:00:00,"1-8",2025-08-13,-6.185124,106.861004
"360",15:15:00,"1-8",2025-08-13,-6.185119,106.860551
"361",15:30:00,"1-8",2025-08-13,-6.18437927120154,106.861309017934
"362",15:45:00,"1-8",2025-08-13,-6.183673,106.861733
"363",16:15:00,"1-8",2025-08-13,-6.18441003243031,106.861387475088
"364",17:00:00,"1-8",2025-08-13,-6.18570894442564,106.861040689944
"365",17:30:00,"1-8",2025-08-13,-6.18503816170836,106.861878721735
"366",17:45:00,"1-8",2025-08-13,-6.183837,106.862027
"367",18:15:00,"1-8",2025-08-13,-6.183401,106.858898
"368",18:30:00,"1-8",2025-08-13,-6.185539,106.857129
"369",18:45:00,"1-8",2025-08-13,-6.183743,106.861813
"370",19:45:00,"1-8",2025-08-13,-6.185133,106.860613
"371",20:00:00,"1-8",2025-08-13,-6.18502,106.857538
"372",20:15:00,"1-8",2025-08-13,-6.183522,106.861556
"373",06:00:00,"1-27",2025-08-20,-6.182734,106.861942
"374",06:15:00,"1-27",2025-08-20,-6.18085455237366,106.861498394376
"375",08:30:00,"1-27",2025-08-20,-6.18082016237194,106.861003220135
"376",09:30:00,"1-27",2025-08-19,-6.18103491334924,106.860656315425
"377",09:45:00,"1-27",2025-08-19,-6.180922,106.860827
"378",10:00:00,"1-27",2025-08-19,-6.181584,106.860569
"379",10:30:00,"1-27",2025-08-19,-6.180965,106.860853
"380",11:00:00,"1-27",2025-08-19,-6.181534,106.86048
"381",11:15:00,"1-27",2025-08-19,-6.181518,106.860498
"382",11:45:00,"1-27",2025-08-19,-6.181519,106.860462
"383",12:00:00,"1-27",2025-08-19,-6.181542,106.86048
"384",12:15:00,"1-27",2025-08-19,-6.181579,106.860382
"385",12:45:00,"1-27",2025-08-19,-6.182326,106.861831
"386",13:00:00,"1-27",2025-08-19,-6.182837,106.861769
"387",13:30:00,"1-27",2025-08-19,-6.182796,106.861716
"388",13:45:00,"1-27",2025-08-19,-6.182511,106.861902
"389",14:00:00,"1-27",2025-08-19,-6.181556,106.860062
"390",14:15:00,"1-27",2025-08-19,-6.181621,106.860089
"391",14:30:00,"1-27",2025-08-19,-6.1759320051469,106.86588263077
"392",14:45:00,"1-27",2025-08-19,-6.17592418009671,106.865873827587
"393",15:00:00,"1-27",2025-08-19,-6.182801,106.861787
"394",18:15:00,"1-27",2025-08-19,-6.18723535663748,106.863118861838
"395",18:30:00,"1-27",2025-08-19,-6.182727,106.861787
"396",21:00:00,"1-27",2025-08-19,-6.182798,106.861849
"397",05:45:00,"1-14",2025-08-21,-6.17444953127566,106.854178564691
"398",06:00:00,"1-14",2025-08-21,-6.176742,106.856204
"399",06:15:00,"1-14",2025-08-21,-6.181639,106.860284
"400",06:30:00,"1-14",2025-08-21,-6.181432,106.860284
"401",06:45:00,"1-14",2025-08-21,-6.18146117532681,106.861547853766
"402",07:00:00,"1-14",2025-08-21,-6.18158717638916,106.861745994287
"403",07:15:00,"1-14",2025-08-21,-6.181553,106.860738
"404",07:30:00,"1-14",2025-08-21,-6.1813708593959,106.861475139662
"405",07:45:00,"1-14",2025-08-21,-6.18149797791635,106.861563481231
"406",08:15:00,"1-14",2025-08-21,-6.1814093036588,106.861444751891
"407",08:30:00,"1-14",2025-08-21,-6.18152757743069,106.861593097537
"408",08:45:00,"1-14",2025-08-21,-6.18165110478692,106.861664440547
"409",09:15:00,"1-14",2025-08-20,-6.18080074759347,106.860723671117
"410",09:30:00,"1-14",2025-08-20,-6.18085999017577,106.860892560987
"411",11:00:00,"1-14",2025-08-20,-6.18102319205201,106.860992587858
"412",11:30:00,"1-14",2025-08-20,-6.18077849468237,106.860403256647
"413",12:15:00,"1-14",2025-08-20,-6.18104892900184,106.860996961626
"414",12:30:00,"1-14",2025-08-20,-6.17577485624728,106.857036301466
"415",12:45:00,"1-14",2025-08-20,-6.176171,106.865678
"416",13:00:00,"1-14",2025-08-20,-6.17477093424253,106.854973279198
"417",13:15:00,"1-14",2025-08-20,-6.177292,106.855387
